Dam_ID,metric,sen_slope,mk_tau,mean_value,pct_sen_slope,inde_p,inde_dep,inde_h,inde_trend,ar1_p,ar1_dep,ar1_h,ar1_trend,ltp_p,ltp_dep,ltp_h,ltp_trend
500,total_duration_below_threshold,-53.59,-0.246,73.05,-73.4,0.0247722037003432,0,TRUE,-1.34,0.0757840458131326,0.249,FALSE,-1.34,0.260789099401485,0.62,FALSE,-1.34
502,total_duration_below_threshold,-1.67,-0.053,73.1,-2.3,0.639015470005607,0,FALSE,-0.042,0.645692018461233,0.022,FALSE,-0.042,0.772379719045766,0.543,FALSE,-0.042
505,total_duration_below_threshold,-11.26,-0.049,73.05,-15.4,0.666276465180645,0,FALSE,-0.282,0.786498126373068,0.47,FALSE,-0.282,0.873652231291764,0.744,FALSE,-0.282
509,total_duration_below_threshold,0,0.021,73.05,0,0.854261220153242,0,FALSE,0,0.891991638252695,0.317,FALSE,0,0.938106065681305,0.67,FALSE,0
511,total_duration_below_threshold,-30.38,-0.132,73.1,-41.6,0.233984672701572,0,FALSE,-0.76,0.290077078177088,0.127,FALSE,-0.76,0.427726016412436,0.517,FALSE,-0.76
517,total_duration_below_threshold,24.63,0.126,73.12,33.7,0.254245189313923,0,FALSE,0.616,0.347105001432282,0.206,FALSE,0.616,0.435220474881154,0.505,FALSE,0.616
519,total_duration_below_threshold,36.99,0.255,73.05,50.6,0.0161595473765334,0,TRUE,0.925,0.137355707435866,0.485,FALSE,0.925,0.360260048710266,0.715,FALSE,0.925
522,total_duration_below_threshold,0,-0.118,73.08,0,0.275278148606901,0,FALSE,0,0.352796628183725,0.172,FALSE,0,0.669402178959951,0.709,FALSE,0
529,total_duration_below_threshold,0,0.021,73.05,0,0.836829815091204,0,FALSE,0,0.909293332866624,0.576,FALSE,0,0.948029483243204,0.74,FALSE,0
536,total_duration_below_threshold,-9.62,-0.178,73.12,-13.2,0.0936568060847158,0,FALSE,-0.24,0.211312525186546,0.309,FALSE,-0.24,0.597893008361203,0.792,FALSE,-0.24
541,total_duration_below_threshold,0,-0.123,73.05,0,0.235639364368167,0,FALSE,0,0.360817798264551,0.276,FALSE,0,0.63336477569239,0.682,FALSE,0
542,total_duration_below_threshold,140,0.606,73.12,191.5,3.751829126e-8,0,TRUE,3.5,3.7663453147058e-4,0.445,TRUE,3.5,1.1939123427336e-4,0.5,TRUE,3.5
572,total_duration_below_threshold,0,0.127,73.2,0,0.215815109723338,0,FALSE,0,0.327451475566067,0.249,FALSE,0,0.583937924025626,0.64,FALSE,0
574,total_duration_below_threshold,0,0.217,73.05,0,0.0359551388567593,0,TRUE,0,0.0707910387663678,0.16,FALSE,0,0.460954071248087,0.736,FALSE,0
575,total_duration_below_threshold,0,0.042,73.05,0,0.704016735031122,0,FALSE,0,0.714828680085498,0.042,FALSE,0,0.794215704144817,0.5,FALSE,0
597,total_duration_below_threshold,0,0.314,73.05,0,4.3074655399918e-4,0,TRUE,0,0.069882476811674,0.63,FALSE,0,0.365737390031702,0.804,FALSE,0
601,total_duration_below_threshold,0,0.138,73.05,0,0.132705775539195,0,FALSE,0,0.343082356479548,0.467,FALSE,0,0.664573908176724,0.768,FALSE,0
603,total_duration_below_threshold,0,0.373,73.08,0,2.847226533103e-5,0,TRUE,0,0.0398151143431889,0.663,TRUE,0,0.314855346987554,0.831,FALSE,0
604,total_duration_below_threshold,20.94,0.338,73.05,28.7,6.3847463064485e-4,0,TRUE,0.523,0.0440677018068374,0.524,TRUE,0.523,0.370971760491886,0.839,FALSE,0.523
